locus_tag	ftype	length_bp	gene	EC_number	COG	product
AGMPGHNC_00950	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
AGMPGHNC_00951	CDS	1836	assT_2	2.8.2.22		Arylsulfate sulfotransferase AssT
AGMPGHNC_00952	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
AGMPGHNC_00953	CDS	1479	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
AGMPGHNC_00954	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
AGMPGHNC_00955	CDS	795	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
AGMPGHNC_00956	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
AGMPGHNC_00957	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
AGMPGHNC_00958	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
AGMPGHNC_00959	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
AGMPGHNC_00960	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
AGMPGHNC_00961	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
AGMPGHNC_00962	CDS	1431				hypothetical protein
AGMPGHNC_00963	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
AGMPGHNC_00964	CDS	813				hypothetical protein
AGMPGHNC_00965	CDS	1296	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
AGMPGHNC_00966	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
AGMPGHNC_00967	CDS	954	metR			HTH-type transcriptional regulator MetR
AGMPGHNC_00968	CDS	900	bioP		COG0697	Biotin transporter
AGMPGHNC_00969	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
AGMPGHNC_00970	CDS	1017	pldB	3.1.1.5	COG2267	Lysophospholipase L2
AGMPGHNC_00971	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
AGMPGHNC_00972	CDS	621	rhtC_1		COG1280	Threonine efflux protein
AGMPGHNC_00973	CDS	1848	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
AGMPGHNC_00974	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
AGMPGHNC_00975	CDS	468				hypothetical protein
AGMPGHNC_00976	CDS	885	rarD_1		COG2962	Protein RarD
AGMPGHNC_00977	CDS	459	yigG			Inner membrane protein YigG
AGMPGHNC_00978	CDS	381				hypothetical protein
AGMPGHNC_00979	CDS	951	corA		COG0598	Magnesium transport protein CorA
AGMPGHNC_00980	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
AGMPGHNC_00981	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
AGMPGHNC_00982	CDS	903	xerC		COG4973	Tyrosine recombinase XerC
AGMPGHNC_00983	CDS	708				hypothetical protein
AGMPGHNC_00984	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
AGMPGHNC_00985	CDS	204				hypothetical protein
AGMPGHNC_00986	CDS	252				hypothetical protein
AGMPGHNC_00987	CDS	93				hypothetical protein
AGMPGHNC_00988	CDS	390				hypothetical protein
AGMPGHNC_00989	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
AGMPGHNC_00990	CDS	363				hypothetical protein
AGMPGHNC_00991	CDS	516				hypothetical protein
AGMPGHNC_00992	CDS	354				hypothetical protein
AGMPGHNC_00993	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
AGMPGHNC_00994	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
AGMPGHNC_00995	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
AGMPGHNC_00996	CDS	1170	hemX		COG2959	Protein HemX
AGMPGHNC_00997	CDS	1200	hemY		COG3071	Protein HemY
AGMPGHNC_00998	tRNA	77				tRNA-Pro(tgg)
AGMPGHNC_00999	tRNA	87				tRNA-Leu(cag)
AGMPGHNC_01000	tRNA	76				tRNA-His(gtg)
AGMPGHNC_01001	tRNA	77				tRNA-Arg(ccg)
AGMPGHNC_01002	CDS	1386	yifK		COG1113	putative transport protein YifK
AGMPGHNC_01003	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
AGMPGHNC_01004	CDS	1359	wzyE			putative ECA polymerase
AGMPGHNC_01005	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
AGMPGHNC_01006	CDS	1251	wzxE		COG2244	Lipid III flippase
AGMPGHNC_01007	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
AGMPGHNC_01008	CDS	678	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
AGMPGHNC_01009	CDS	225				hypothetical protein
AGMPGHNC_01010	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
AGMPGHNC_01011	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
AGMPGHNC_01012	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
AGMPGHNC_01013	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
AGMPGHNC_01014	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
AGMPGHNC_01015	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
AGMPGHNC_01016	CDS	330	trxA		COG0526	Thioredoxin 1
AGMPGHNC_01017	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
AGMPGHNC_01018	CDS	1482	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
AGMPGHNC_01019	CDS	2025	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
AGMPGHNC_01020	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
AGMPGHNC_01021	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
AGMPGHNC_01022	CDS	888	gltC_2			HTH-type transcriptional regulator GltC
AGMPGHNC_01023	CDS	342				hypothetical protein
AGMPGHNC_01024	CDS	318				hypothetical protein
AGMPGHNC_01025	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
AGMPGHNC_01026	CDS	1851	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
AGMPGHNC_01027	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
AGMPGHNC_01028	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
AGMPGHNC_01029	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
AGMPGHNC_01030	CDS	1521	comM		COG0606	Competence protein ComM
AGMPGHNC_01031	CDS	339				hypothetical protein
AGMPGHNC_01032	CDS	837	hdfR_2			HTH-type transcriptional regulator HdfR
AGMPGHNC_01033	tRNA	76				tRNA-Trp(cca)
AGMPGHNC_01034	tRNA	77				tRNA-Asp(gtc)
AGMPGHNC_01035	CDS	561	torD_2			Chaperone protein TorD
AGMPGHNC_01036	CDS	2280	ynfE_1	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
AGMPGHNC_01037	CDS	558	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
AGMPGHNC_01038	CDS	768				hypothetical protein
AGMPGHNC_01039	CDS	429	uspG		COG0589	Universal stress protein UP12
AGMPGHNC_01040	CDS	1239		1.1.1.1	COG1063	putative zinc-binding alcohol dehydrogenase
AGMPGHNC_01041	CDS	411	rnk		COG0782	Regulator of nucleoside diphosphate kinase
AGMPGHNC_01042	CDS	297	rna_1	4.6.1.21	COG3719	Ribonuclease I
AGMPGHNC_01043	CDS	489	rna_2	4.6.1.21	COG3719	Ribonuclease I
AGMPGHNC_01044	CDS	1464	ttdT		COG0471	L-tartrate/succinate antiporter
AGMPGHNC_01045	CDS	897	citG_2	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
AGMPGHNC_01046	CDS	552	citX_1	2.7.7.61	COG3697	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
AGMPGHNC_01047	CDS	1530	citF_1	4.1.3.6	COG3051	Citrate lyase alpha chain
AGMPGHNC_01048	CDS	909	citE_1	4.1.3.6	COG2301	Citrate lyase subunit beta
AGMPGHNC_01049	CDS	297	citD_1		COG3052	Citrate lyase acyl carrier protein
AGMPGHNC_01050	CDS	1077	citC_1	6.2.1.22	COG3053	[Citrate [pro-3S]-lyase] ligase
AGMPGHNC_01051	CDS	1662	dpiB	2.7.13.3	COG3290	Sensor histidine kinase DpiB
AGMPGHNC_01052	CDS	681	dpiA		COG4565	Transcriptional regulatory protein DpiA
AGMPGHNC_01053	CDS	1386	dcuD		COG3069	Putative cryptic C4-dicarboxylate transporter DcuD
AGMPGHNC_01054	CDS	573	pagP	2.3.1.251		Lipid A palmitoyltransferase PagP
AGMPGHNC_01055	CDS	210	cspE			Cold shock-like protein CspE
AGMPGHNC_01056	CDS	384	crcB		COG0239	Putative fluoride ion transporter CrcB
AGMPGHNC_01057	CDS	789	ybeM	3.5.1.128		Deaminated glutathione amidase
AGMPGHNC_01058	CDS	204	tatE		COG1826	Sec-independent protein translocase protein TatE
AGMPGHNC_01059	CDS	966	lipA	2.8.1.8	COG0320	Lipoyl synthase
AGMPGHNC_01060	CDS	954	ybdO_1			putative HTH-type transcriptional regulator YbdO
AGMPGHNC_01061	CDS	642	lipB	2.3.1.181	COG0321	Octanoyltransferase
AGMPGHNC_01062	CDS	264				hypothetical protein
AGMPGHNC_01063	CDS	1212	dacA	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
AGMPGHNC_01064	CDS	1146	rlpA	4.2.2.-	COG0797	Endolytic peptidoglycan transglycosylase RlpA
AGMPGHNC_01065	CDS	1113	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
AGMPGHNC_01066	CDS	1902	mrdA_2	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
AGMPGHNC_01067	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
AGMPGHNC_01068	CDS	318	rsfS		COG0799	Ribosomal silencing factor RsfS
AGMPGHNC_01069	CDS	609	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
AGMPGHNC_01070	CDS	1095	cobD_1	4.1.1.81	COG0079	Threonine-phosphate decarboxylase
AGMPGHNC_01071	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
AGMPGHNC_01072	CDS	1032	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
AGMPGHNC_01073	CDS	591	lptE		COG2980	LPS-assembly lipoprotein LptE
AGMPGHNC_01074	CDS	2583	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
AGMPGHNC_01075	CDS	291	uxaA	4.2.1.7	COG2721	Altronate dehydratase
AGMPGHNC_01076	CDS	1251	suyB	4.4.1.24		(2R)-sulfolactate sulfo-lyase subunit beta
AGMPGHNC_01077	CDS	954	kdgT_1			2-keto-3-deoxygluconate permease
AGMPGHNC_01078	CDS	1929	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
AGMPGHNC_01079	CDS	474				hypothetical protein
AGMPGHNC_01080	CDS	996	esiB			Secretory immunoglobulin A-binding protein EsiB
AGMPGHNC_01081	CDS	708				hypothetical protein
AGMPGHNC_01082	CDS	1434				hypothetical protein
AGMPGHNC_01083	CDS	630				hypothetical protein
AGMPGHNC_01084	CDS	1473				hypothetical protein
AGMPGHNC_01085	CDS	1680	hscC		COG0443	Chaperone protein HscC
AGMPGHNC_01086	CDS	1239				hypothetical protein
AGMPGHNC_01087	CDS	936	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
AGMPGHNC_01088	CDS	726	glnQ_1			Glutamine transport ATP-binding protein GlnQ
AGMPGHNC_01089	CDS	675	gltK		COG0765	Glutamate/aspartate import permease protein GltK
AGMPGHNC_01090	CDS	741	gltJ		COG0765	Glutamate/aspartate import permease protein GltJ
AGMPGHNC_01091	CDS	909	gltI		COG0834	Glutamate/aspartate import solute-binding protein
AGMPGHNC_01092	CDS	1590	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
AGMPGHNC_01093	CDS	879	corC		COG4535	Magnesium and cobalt efflux protein CorC
AGMPGHNC_01094	CDS	474	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
AGMPGHNC_01095	CDS	1047	ybeZ		COG1702	PhoH-like protein
AGMPGHNC_01096	CDS	1425	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
AGMPGHNC_01097	CDS	1176	ubiF	1.14.99.60	COG0654	3-demethoxyubiquinol 3-hydroxylase
AGMPGHNC_01098	CDS	576				hypothetical protein
AGMPGHNC_01099	tRNA	75				tRNA-Gln(ctg)
AGMPGHNC_01100	tRNA	75				tRNA-Gln(ctg)
AGMPGHNC_01101	tRNA	77				tRNA-Met(cat)
AGMPGHNC_01102	tRNA	75				tRNA-Gln(ttg)
AGMPGHNC_01103	tRNA	75				tRNA-Gln(ttg)
AGMPGHNC_01104	tRNA	85				tRNA-Leu(tag)
AGMPGHNC_01105	tRNA	77				tRNA-Met(cat)
AGMPGHNC_01106	CDS	1665	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
AGMPGHNC_01107	CDS	753	nagD	3.1.3.5	COG0647	Ribonucleotide monophosphatase NagD
AGMPGHNC_01108	CDS	1221	nagC		COG1940	N-acetylglucosamine repressor
AGMPGHNC_01109	CDS	1215	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
AGMPGHNC_01110	CDS	801	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
AGMPGHNC_01111	CDS	1953	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
AGMPGHNC_01112	CDS	1668	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
AGMPGHNC_01113	CDS	1407	chiP			Chitoporin
AGMPGHNC_01114	CDS	333	chiQ			putative lipoprotein ChiQ
AGMPGHNC_01115	CDS	1305	proP_1			Proline/betaine transporter
AGMPGHNC_01116	CDS	1140				hypothetical protein
AGMPGHNC_01117	CDS	1404	ifcA	1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
AGMPGHNC_01118	CDS	927	catM			HTH-type transcriptional regulator CatM
AGMPGHNC_01119	CDS	453	fur		COG0735	Ferric uptake regulation protein
AGMPGHNC_01120	CDS	531	fldA		COG0716	Flavodoxin 1
AGMPGHNC_01121	CDS	282	ybfE			putative protein YbfE
AGMPGHNC_01122	CDS	771	ybfF	3.1.-.-	COG0596	Esterase YbfF
AGMPGHNC_01123	CDS	543	seqA		COG3057	Negative modulator of initiation of replication
AGMPGHNC_01124	CDS	1641	pgm	5.4.2.2	COG0033	Phosphoglucomutase
AGMPGHNC_01125	CDS	486				hypothetical protein
AGMPGHNC_01126	CDS	1320	potE		COG0531	Putrescine transporter PotE
AGMPGHNC_01127	CDS	2199	speF	4.1.1.17	COG1982	Inducible ornithine decarboxylase
AGMPGHNC_01128	CDS	105				hypothetical protein
AGMPGHNC_01129	CDS	678	kdpE		COG0745	KDP operon transcriptional regulatory protein KdpE
AGMPGHNC_01130	CDS	2685	kdpD	2.7.13.3	COG2205	Sensor protein KdpD
AGMPGHNC_01131	CDS	585	kdpC		COG2156	Potassium-transporting ATPase KdpC subunit
AGMPGHNC_01132	CDS	2049	kdpB	7.2.2.6	COG2216	Potassium-transporting ATPase ATP-binding subunit
AGMPGHNC_01133	CDS	1680	kdpA		COG2060	Potassium-transporting ATPase potassium-binding subunit
AGMPGHNC_01134	CDS	207				hypothetical protein
AGMPGHNC_01135	CDS	1422	phrB	4.1.99.3	COG0415	Deoxyribodipyrimidine photo-lyase
AGMPGHNC_01136	CDS	1482	dtpD		COG3104	Dipeptide permease D
AGMPGHNC_01137	CDS	744	ybgI		COG0327	GTP cyclohydrolase 1 type 2 
AGMPGHNC_01138	CDS	657	pxpB	3.5.2.9	COG2049	5-oxoprolinase subunit B
AGMPGHNC_01139	CDS	933	pxpC	3.5.2.9	COG1984	5-oxoprolinase subunit C
AGMPGHNC_01140	CDS	735	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
AGMPGHNC_01141	CDS	567				ISKra4 family transposase ISCep1
AGMPGHNC_01142	CDS	222				hypothetical protein
AGMPGHNC_01143	CDS	741				hypothetical protein
AGMPGHNC_01144	CDS	1152	rfbD_1	5.4.99.9		UDP-galactopyranose mutase
AGMPGHNC_01145	CDS	894				hypothetical protein
AGMPGHNC_01146	CDS	1134	pglA	2.4.1.290		N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase
AGMPGHNC_01147	CDS	771				hypothetical protein
AGMPGHNC_01148	CDS	711	tagH	7.5.2.4	COG1134	Teichoic acids export ATP-binding protein TagH
AGMPGHNC_01149	CDS	1779				hypothetical protein
AGMPGHNC_01150	CDS	834				hypothetical protein
AGMPGHNC_01151	CDS	1950				hypothetical protein
AGMPGHNC_01152	CDS	138				hypothetical protein
AGMPGHNC_01153	CDS	792	nei	3.2.2.-	COG0266	Endonuclease 8
AGMPGHNC_01154	CDS	1047				hypothetical protein
AGMPGHNC_01155	CDS	1284	gltA	2.3.3.16	COG0372	Citrate synthase
AGMPGHNC_01156	CDS	246				hypothetical protein
AGMPGHNC_01157	CDS	405	sdhC		COG2009	Succinate dehydrogenase cytochrome b556 subunit
AGMPGHNC_01158	CDS	348	sdhD		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
AGMPGHNC_01159	CDS	1767	sdhA	1.3.5.1	COG1053	Succinate dehydrogenase flavoprotein subunit
AGMPGHNC_01160	CDS	717	sdhB	1.3.5.1	COG0479	Succinate dehydrogenase iron-sulfur subunit
AGMPGHNC_01161	CDS	2802	sucA	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
AGMPGHNC_01162	CDS	1209	sucB	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
AGMPGHNC_01163	CDS	1167	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
AGMPGHNC_01164	CDS	870	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
AGMPGHNC_01165	CDS	126				hypothetical protein
AGMPGHNC_01166	CDS	1569	cydA	7.1.1.7	COG1271	Cytochrome bd-I ubiquinol oxidase subunit 1
AGMPGHNC_01167	CDS	1140	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
AGMPGHNC_01168	CDS	114	cydX	7.1.1.7	COG4890	Cytochrome bd-I ubiquinol oxidase subunit X
AGMPGHNC_01169	CDS	282				hypothetical protein
AGMPGHNC_01170	CDS	405	ybgC	3.1.2.-	COG0824	Acyl-CoA thioester hydrolase YbgC
AGMPGHNC_01171	CDS	693	tolQ		COG0811	Tol-Pal system protein TolQ
AGMPGHNC_01172	CDS	429	tolR		COG0848	Tol-Pal system protein TolR
AGMPGHNC_01173	CDS	1224				hypothetical protein
AGMPGHNC_01174	CDS	1293	tolB		COG0823	Tol-Pal system protein TolB
AGMPGHNC_01175	CDS	525	pal_1		COG2885	Peptidoglycan-associated lipoprotein
AGMPGHNC_01176	CDS	789	cpoB		COG1729	Cell division coordinator CpoB
AGMPGHNC_01177	tRNA	76				tRNA-Lys(ttt)
AGMPGHNC_01178	tRNA	76				tRNA-Val(tac)
AGMPGHNC_01179	tRNA	76				tRNA-Lys(ttt)
AGMPGHNC_01180	tRNA	76				tRNA-Lys(ttt)
AGMPGHNC_01181	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase A
AGMPGHNC_01182	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
AGMPGHNC_01183	CDS	939	zitB		COG1230	Zinc transporter ZitB
AGMPGHNC_01184	CDS	387				hypothetical protein
AGMPGHNC_01185	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
AGMPGHNC_01186	CDS	546	fumB_1	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
AGMPGHNC_01187	CDS	846	ttdA_2	4.2.1.32	COG1951	L(+)-tartrate dehydratase subunit alpha
AGMPGHNC_01188	CDS	891	cynR			HTH-type transcriptional regulator CynR
AGMPGHNC_01189	CDS	927	yjiE_1			HTH-type transcriptional regulator YjiE
AGMPGHNC_01190	CDS	1269				hypothetical protein
AGMPGHNC_01191	CDS	246	oadG_2	7.2.4.2	COG3630	Oxaloacetate decarboxylase gamma chain
AGMPGHNC_01192	CDS	1776	oadA_1	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
AGMPGHNC_01193	CDS	198				hypothetical protein
AGMPGHNC_01194	CDS	618	ccmA_3	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
AGMPGHNC_01195	CDS	657	ccmB_3		COG2386	Heme exporter protein B
AGMPGHNC_01196	CDS	738	ccmC_3		COG0755	Heme exporter protein C
AGMPGHNC_01197	CDS	213	ccmD_3		COG3114	Heme exporter protein D
AGMPGHNC_01198	CDS	480	ccmE_3		COG2332	Cytochrome c-type biogenesis protein CcmE
AGMPGHNC_01199	CDS	1932	ccmF_3		COG1138	Cytochrome c-type biogenesis protein CcmF
AGMPGHNC_01200	CDS	558	dsbE_3		COG0526	Thiol:disulfide interchange protein DsbE
AGMPGHNC_01201	CDS	1044	ccmH_1		COG3088	Cytochrome c-type biogenesis protein CcmH
AGMPGHNC_01202	CDS	1227				hypothetical protein
AGMPGHNC_01203	CDS	291				hypothetical protein
AGMPGHNC_01204	CDS	414	ibpA_1		COG0071	Small heat shock protein IbpA
AGMPGHNC_01205	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
AGMPGHNC_01206	CDS	1662	aspT_1			Aspartate/alanine antiporter
AGMPGHNC_01207	CDS	348	yidH		COG2149	Inner membrane protein YidH
AGMPGHNC_01208	CDS	363	yidG			Inner membrane protein YidG
AGMPGHNC_01209	CDS	531				hypothetical protein
AGMPGHNC_01210	CDS	1323	dsdA	4.3.1.18	COG3048	D-serine dehydratase
AGMPGHNC_01211	CDS	1338	dsdX			D-serine transporter DsdX
AGMPGHNC_01212	CDS	924	dsdC		COG0583	HTH-type transcriptional regulator DsdC
AGMPGHNC_01213	CDS	1062				hypothetical protein
AGMPGHNC_01214	CDS	1185	emrD			Multidrug resistance protein D
AGMPGHNC_01215	CDS	834				hypothetical protein
AGMPGHNC_01216	CDS	90	tisB			Small toxic protein TisB
AGMPGHNC_01217	CDS	99				hypothetical protein
AGMPGHNC_01218	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
AGMPGHNC_01219	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
AGMPGHNC_01220	CDS	786	deoR_1		COG1349	Deoxyribose operon repressor
AGMPGHNC_01221	CDS	921	rbsK_2	2.7.1.15		Ribokinase
AGMPGHNC_01222	CDS	1317	fucP_1		COG0738	L-fucose-proton symporter
AGMPGHNC_01223	CDS	1014				hypothetical protein
AGMPGHNC_01224	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
AGMPGHNC_01225	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
AGMPGHNC_01226	CDS	1329	uhpC_1		COG2271	Membrane sensor protein UhpC
AGMPGHNC_01227	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
AGMPGHNC_01228	CDS	453				hypothetical protein
AGMPGHNC_01229	CDS	744	mngR_2		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
AGMPGHNC_01230	CDS	474				hypothetical protein
AGMPGHNC_01231	CDS	288	gatB_1	2.7.1.200	COG3414	PTS system galactitol-specific EIIB component
AGMPGHNC_01232	CDS	1359	gatC_1		COG3775	PTS system galactitol-specific EIIC component
AGMPGHNC_01233	CDS	1485	glpK_2	2.7.1.30	COG0554	Glycerol kinase
AGMPGHNC_01234	CDS	861	fba	4.1.2.13		Fructose-bisphosphate aldolase
AGMPGHNC_01235	CDS	270	ptsH_2			Phosphocarrier protein HPr
AGMPGHNC_01236	CDS	324				hypothetical protein
AGMPGHNC_01237	CDS	360				hypothetical protein
AGMPGHNC_01238	CDS	1194	nepI		COG2814	Purine ribonucleoside efflux pump NepI
AGMPGHNC_01239	CDS	1383	gmuD	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
AGMPGHNC_01240	CDS	294				hypothetical protein
AGMPGHNC_01241	CDS	2799	dgaR_1			Transcriptional regulatory protein DagR
AGMPGHNC_01242	CDS	426				hypothetical protein
AGMPGHNC_01243	CDS	486	levE	2.7.1.202	COG3444	PTS system fructose-specific EIIB component
AGMPGHNC_01244	CDS	750	agaC_1		COG3715	N-acetylgalactosamine permease IIC component 1
AGMPGHNC_01245	CDS	858	manZ_2		COG3716	PTS system mannose-specific EIID component
AGMPGHNC_01246	CDS	1110	dgaE_1	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
AGMPGHNC_01247	CDS	744	dgaF_1	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
AGMPGHNC_01248	CDS	942				ISNCY family transposase ISRor2
AGMPGHNC_01249	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
AGMPGHNC_01250	CDS	684	mgtC		COG1285	Protein MgtC
AGMPGHNC_01251	CDS	2727	mgtB	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
AGMPGHNC_01252	CDS	93				hypothetical protein
AGMPGHNC_01253	CDS	480				hypothetical protein
AGMPGHNC_01254	CDS	681	ycaC_2	4.-.-.-	COG1335	putative hydrolase YcaC
AGMPGHNC_01255	CDS	858				hypothetical protein
AGMPGHNC_01256	CDS	465				hypothetical protein
AGMPGHNC_01257	CDS	2868				hypothetical protein
AGMPGHNC_01258	CDS	618	ecpR			HTH-type transcriptional regulator EcpR
AGMPGHNC_01259	CDS	174				hypothetical protein
AGMPGHNC_01260	CDS	1038				hypothetical protein
AGMPGHNC_01261	CDS	348				hypothetical protein
AGMPGHNC_01262	CDS	876				hypothetical protein
AGMPGHNC_01263	CDS	315	recF_2			DNA replication and repair protein RecF
AGMPGHNC_01264	CDS	345				hypothetical protein
AGMPGHNC_01265	tRNA	95				tRNA-SeC(tca)
AGMPGHNC_01266	CDS	1383	yicJ_1		COG2211	Inner membrane symporter YicJ
AGMPGHNC_01267	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
AGMPGHNC_01268	CDS	1710				hypothetical protein
AGMPGHNC_01269	CDS	1392	xanP		COG2233	Xanthine permease XanP
AGMPGHNC_01270	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
AGMPGHNC_01271	CDS	852				hypothetical protein
AGMPGHNC_01272	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
