locus_tag	ftype	length_bp	gene	EC_number	COG	product
GJMMAFOP_02502	CDS	816	menB_1	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
GJMMAFOP_02503	CDS	1461	menE_1	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
GJMMAFOP_02504	CDS	1116	menC_1	4.2.1.113	COG4948	o-succinylbenzoate synthase
GJMMAFOP_02505	CDS	921	mntA_1		COG0803	Manganese-binding lipoprotein MntA
GJMMAFOP_02506	CDS	753	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
GJMMAFOP_02507	CDS	1308	mntC		COG1108	Manganese transport system membrane protein MntC
GJMMAFOP_02508	CDS	888	mntD		COG1108	Manganese transport system membrane protein MntD
GJMMAFOP_02509	CDS	159				hypothetical protein
GJMMAFOP_02510	CDS	1041	ythB_1		COG1294	Putative cytochrome bd menaquinol oxidase subunit II
GJMMAFOP_02511	CDS	1332	ythA_1	1.10.3.-	COG1271	Putative cytochrome bd menaquinol oxidase subunit I
GJMMAFOP_02512	CDS	249	rpmE2_1		COG0254	50S ribosomal protein L31 type B
GJMMAFOP_02513	CDS	564	csh_2	3.13.1.5		Carbon disulfide hydrolase
GJMMAFOP_02514	CDS	474	luxS_1	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
GJMMAFOP_02515	CDS	438				hypothetical protein
GJMMAFOP_02516	CDS	141				hypothetical protein
GJMMAFOP_02517	CDS	438	dps_1		COG0783	General stress protein 20U
GJMMAFOP_02518	CDS	405				hypothetical protein
GJMMAFOP_02519	CDS	477	ytkD_1	3.6.1.55	COG0494	Putative 8-oxo-dGTP diphosphatase YtkD
GJMMAFOP_02520	CDS	813	ssuC_2		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
GJMMAFOP_02521	CDS	783	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
GJMMAFOP_02522	CDS	1029				hypothetical protein
GJMMAFOP_02523	CDS	774				hypothetical protein
GJMMAFOP_02524	CDS	243	ytmB_1			putative protein YtmB
GJMMAFOP_02525	CDS	1584	pckA_1	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
GJMMAFOP_02526	CDS	1203	metK_1	2.5.1.6		S-adenosylmethionine synthase
GJMMAFOP_02527	CDS	1899	asnB_1	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 1
GJMMAFOP_02528	CDS	1392	proY		COG1113	Proline-specific permease ProY
GJMMAFOP_02529	CDS	516	yrdA_1		COG0663	Protein YrdA
GJMMAFOP_02530	CDS	780	ytpA_1	3.1.1.-	COG2267	Phospholipase YtpA
GJMMAFOP_02531	CDS	1107	ytpB_1	4.2.3.130		Tetraprenyl-beta-curcumene synthase
GJMMAFOP_02532	CDS	585	rsmH_2	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
GJMMAFOP_02533	CDS	969				hypothetical protein
GJMMAFOP_02534	CDS	273				hypothetical protein
GJMMAFOP_02535	CDS	138				hypothetical protein
GJMMAFOP_02536	CDS	393	ytrA_2		COG1725	HTH-type transcriptional repressor YtrA
GJMMAFOP_02537	CDS	879	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
GJMMAFOP_02538	CDS	987	ytrC_1			putative ABC transporter permease YtrC
GJMMAFOP_02539	CDS	978	ytrD			putative ABC transporter permease YtrD
GJMMAFOP_02540	CDS	696	ytrE_1		COG1136	ABC transporter ATP-binding protein YtrE
GJMMAFOP_02541	CDS	1311	ytrF_1		COG0577	ABC transporter permease YtrF
GJMMAFOP_02542	CDS	705	graR_2		COG0745	Response regulator protein GraR
GJMMAFOP_02543	CDS	1005	graS_1	2.7.13.3		Sensor histidine kinase GraS
GJMMAFOP_02544	CDS	762	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
GJMMAFOP_02545	CDS	1941	bceB_1		COG0577	Bacitracin export permease protein BceB
GJMMAFOP_02546	CDS	747	yttA_1			putative membrane protein YttA
GJMMAFOP_02547	CDS	1194	mdrP_2			Na(+), Li(+), K(+)/H(+) antiporter
GJMMAFOP_02548	CDS	786	pfyP			Blue-light photoreceptor
GJMMAFOP_02549	CDS	339				hypothetical protein
GJMMAFOP_02550	CDS	2415	leuS_1	6.1.1.4		Leucine--tRNA ligase
GJMMAFOP_02551	CDS	312		2.8.1.-	COG0607	Sulfurtransferase
GJMMAFOP_02552	CDS	1299	melA_1	3.2.1.22	COG1486	Alpha-galactosidase
GJMMAFOP_02553	CDS	831	melC_1		COG0395	Melibiose/raffinose/stachyose import permease protein MelC
GJMMAFOP_02554	CDS	912	melD_1		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
GJMMAFOP_02555	CDS	1281	melE_1		COG1653	Melibiose/raffinose/stachyose-binding protein MelE
GJMMAFOP_02556	CDS	1035	melR_1		COG1609	HTH-type transcriptional repressor MelR
GJMMAFOP_02557	CDS	900				hypothetical protein
GJMMAFOP_02558	CDS	735	bioW_1	6.2.1.14	COG1424	6-carboxyhexanoate--CoA ligase
GJMMAFOP_02559	CDS	1347	bioK_1	2.6.1.105	COG0161	L-Lysine--8-amino-7-oxononanoate transaminase
GJMMAFOP_02560	CDS	1170	bioF_1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 2
GJMMAFOP_02561	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
GJMMAFOP_02562	CDS	1008	bioB_1	2.8.1.6		Biotin synthase
GJMMAFOP_02563	CDS	1188	bioI_1	1.14.14.46	COG2124	Biotin biosynthesis cytochrome P450
GJMMAFOP_02564	CDS	762				hypothetical protein
GJMMAFOP_02565	CDS	882	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
GJMMAFOP_02566	CDS	1497	lipO_1		COG1653	Lipoprotein LipO
GJMMAFOP_02567	CDS	2307	yesS_1		COG2207	HTH-type transcriptional regulator YesS
GJMMAFOP_02568	CDS	966	yteP_1		COG4209	putative multiple-sugar transport system permease YteP
GJMMAFOP_02569	CDS	1122	yteR_1	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YteR
GJMMAFOP_02570	CDS	423	yteS_1			Putative lipoprotein YteS
GJMMAFOP_02571	CDS	1287	yteT_1	1.-.-.-	COG0673	Putative oxidoreductase YteT
GJMMAFOP_02572	CDS	669				hypothetical protein
GJMMAFOP_02573	CDS	183				Sporulation protein cse60
GJMMAFOP_02574	CDS	1539	opuD_1		COG1292	Glycine betaine transporter OpuD
GJMMAFOP_02575	CDS	1218	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
GJMMAFOP_02576	CDS	1635	murJ_2		COG2244	Lipid II flippase MurJ
GJMMAFOP_02577	CDS	720	rsuA_1	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
GJMMAFOP_02578	CDS	222	ytzE_1		COG1349	putative HTH-type transcriptional regulator YtzE
GJMMAFOP_02579	CDS	711	ecsA_2		COG1131	ABC-type transporter ATP-binding protein EcsA
GJMMAFOP_02580	CDS	1158				hypothetical protein
GJMMAFOP_02581	CDS	1299	pbuO_1		COG2252	Guanine/hypoxanthine permease PbuO
GJMMAFOP_02582	CDS	1392		3.4.13.-		Putative dipeptidase
GJMMAFOP_02583	CDS	936	cysK_2	2.5.1.47		Cysteine synthase
GJMMAFOP_02584	CDS	552	ytlP_1	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
GJMMAFOP_02585	CDS	915				hypothetical protein
GJMMAFOP_02586	CDS	930	ytlR_1	2.7.1.-	COG1597	Putative lipid kinase YtlR
GJMMAFOP_02587	CDS	2157	amyX_1	3.2.1.41	COG1523	Pullulanase
GJMMAFOP_02588	CDS	798				hypothetical protein
GJMMAFOP_02589	CDS	279				hypothetical protein
GJMMAFOP_02590	CDS	642	trmB_1	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
GJMMAFOP_02591	CDS	846	ytnP_1	3.1.1.-	COG0491	putative quorum-quenching lactonase YtnP
GJMMAFOP_02592	CDS	1701	maeA_2	1.1.1.38	COG0281	putative NAD-dependent malic enzyme 2
GJMMAFOP_02593	CDS	318				hypothetical protein
GJMMAFOP_02594	CDS	1074	ysdC_2	3.4.11.-	COG1363	Putative aminopeptidase YsdC
GJMMAFOP_02595	CDS	447				hypothetical protein
GJMMAFOP_02596	CDS	324	ytpP_1			Thioredoxin-like protein YtpP
GJMMAFOP_02597	CDS	810				hypothetical protein
GJMMAFOP_02598	CDS	606				hypothetical protein
GJMMAFOP_02599	CDS	2859	sftA			DNA translocase SftA
GJMMAFOP_02600	CDS	1299	murC_1	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
GJMMAFOP_02601	CDS	423				hypothetical protein
GJMMAFOP_02602	CDS	456				hypothetical protein
GJMMAFOP_02603	CDS	327				hypothetical protein
GJMMAFOP_02604	CDS	1077	aroA_1		COG1605	Protein AroA(G)
GJMMAFOP_02605	CDS	1005	ccpA_2		COG1609	Catabolite control protein A
GJMMAFOP_02606	CDS	819	pomA_1		COG1291	Chemotaxis protein PomA
GJMMAFOP_02607	CDS	729	motB_1		COG1360	Motility protein B
GJMMAFOP_02608	CDS	1191	acuC_1			Acetoin utilization protein AcuC
GJMMAFOP_02609	CDS	645	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
GJMMAFOP_02610	CDS	633	acuA_1	2.3.1.-		Acetoin utilization protein AcuA
GJMMAFOP_02611	CDS	1719	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
GJMMAFOP_02612	CDS	1269	tyrS1_1	6.1.1.1	COG0162	Tyrosine--tRNA ligase 1
GJMMAFOP_02613	CDS	120				hypothetical protein
GJMMAFOP_02614	CDS	603	rpsD_1		COG0522	30S ribosomal protein S4
GJMMAFOP_02615	CDS	1740				hypothetical protein
GJMMAFOP_02616	CDS	492	msrC_1	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
GJMMAFOP_02617	CDS	624	yttP_1			putative HTH-type transcriptional regulator YttP
GJMMAFOP_02618	CDS	807	hisK_1	3.1.3.15	COG1387	Histidinol-phosphatase
GJMMAFOP_02619	CDS	1689	ezrA_1		COG4477	Septation ring formation regulator EzrA
GJMMAFOP_02620	CDS	1338	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
GJMMAFOP_02621	CDS	1146	iscS_2	2.8.1.7	COG1104	Cysteine desulfurase IscS
GJMMAFOP_02622	CDS	1206	thiI_1	2.8.1.4	COG0301	putative tRNA sulfurtransferase
GJMMAFOP_02623	CDS	210				Small, acid-soluble spore protein 2
GJMMAFOP_02624	CDS	1590	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
GJMMAFOP_02625	CDS	1590	nfdA	3.5.1.91		N-substituted formamide deformylase
GJMMAFOP_02626	CDS	804	nadK1_1	2.7.1.23	COG0061	NAD kinase 1
GJMMAFOP_02627	CDS	1008	sppA_1	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
GJMMAFOP_02628	CDS	495				hypothetical protein
GJMMAFOP_02629	CDS	705				hypothetical protein
GJMMAFOP_02630	CDS	456	ytfJ_1		COG3874	putative spore protein YtfJ
GJMMAFOP_02631	CDS	504	tpx_1	1.11.1.15	COG2077	Thiol peroxidase
GJMMAFOP_02632	CDS	990				hypothetical protein
GJMMAFOP_02633	CDS	1188	ackA_1	2.7.2.1	COG0282	Acetate kinase
GJMMAFOP_02634	CDS	513	moaB_1		COG0521	Molybdenum cofactor biosynthesis protein B
GJMMAFOP_02635	CDS	1212	argG_1	6.3.4.5		Argininosuccinate synthase
GJMMAFOP_02636	CDS	1386	argH_1	4.3.2.1	COG0165	Argininosuccinate lyase
GJMMAFOP_02637	CDS	132				hypothetical protein
GJMMAFOP_02638	CDS	768	fabG_7	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GJMMAFOP_02639	CDS	684				hypothetical protein
GJMMAFOP_02640	CDS	927	hdfR			HTH-type transcriptional regulator HdfR
GJMMAFOP_02641	CDS	537	ytmI	2.3.1.-		putative N-acetyltransferase YtmI
GJMMAFOP_02642	CDS	810	tcyJ		COG0834	L-cystine-binding protein TcyJ
GJMMAFOP_02643	CDS	813	tcyK		COG0834	L-cystine-binding protein TcyK
GJMMAFOP_02644	CDS	720	tcyL		COG0765	L-cystine transport system permease protein TcyL
GJMMAFOP_02645	CDS	708	tcyM		COG0765	L-cystine transport system permease protein TcyM
GJMMAFOP_02646	CDS	780	tcyN	3.6.3.-	COG1126	L-cystine import ATP-binding protein TcyN
GJMMAFOP_02647	CDS	1005				hypothetical protein
GJMMAFOP_02648	CDS	282				hypothetical protein
GJMMAFOP_02649	CDS	1329	moxC	1.14.-.-	COG2141	Putative monooxygenase MoxC
GJMMAFOP_02650	CDS	693	ribR	2.7.1.26	COG0196	RNA-binding riboflavin kinase RibR
GJMMAFOP_02651	CDS	1251	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
GJMMAFOP_02652	CDS	903				hypothetical protein
GJMMAFOP_02653	CDS	1320	IMPDH_2	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
GJMMAFOP_02654	CDS	303				hypothetical protein
GJMMAFOP_02655	CDS	942	nrnA_1	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
GJMMAFOP_02656	CDS	192				hypothetical protein
GJMMAFOP_02657	CDS	504	ytrI_1			Sporulation membrane protein YtrI
GJMMAFOP_02658	CDS	342	ytrH_1			Sporulation membrane protein YtrH
GJMMAFOP_02659	CDS	3348	dnaE_1	2.7.7.7	COG0587	DNA polymerase III subunit alpha
GJMMAFOP_02660	CDS	1233		1.1.1.38		NAD-dependent malic enzyme
GJMMAFOP_02661	CDS	873	accD_1	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
GJMMAFOP_02662	CDS	978	accA_1	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
GJMMAFOP_02663	CDS	960	pfkA_1	2.7.1.11	COG0205	ATP-dependent 6-phosphofructokinase
GJMMAFOP_02664	CDS	1758	pyk_1	2.7.1.40	COG0469	Pyruvate kinase
GJMMAFOP_02665	CDS	384				hypothetical protein
GJMMAFOP_02666	CDS	1116				Sodium-lithium/proton antiporter
GJMMAFOP_02667	CDS	465				hypothetical protein
GJMMAFOP_02668	CDS	1119	citZ_1	2.3.3.16	COG0372	Citrate synthase 2
GJMMAFOP_02669	CDS	1272	icd_1	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
GJMMAFOP_02670	CDS	939	mdh_1	1.1.1.37	COG0039	Malate dehydrogenase
GJMMAFOP_02671	CDS	723	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
GJMMAFOP_02672	CDS	1740	phoR_1	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
GJMMAFOP_02673	CDS	2643	polA_1	2.7.7.7		DNA polymerase I
GJMMAFOP_02674	CDS	831	mutM_1	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
GJMMAFOP_02675	CDS	633	ytaF_1			putative sporulation protein YtaF
GJMMAFOP_02676	CDS	594	coaE_1	2.7.1.24		Dephospho-CoA kinase
GJMMAFOP_02677	CDS	843	ytbE_1	1.-.-.-	COG0656	putative oxidoreductase YtbE
GJMMAFOP_02678	CDS	1191	ydhP_1		COG2814	Inner membrane transport protein YdhP
GJMMAFOP_02679	CDS	381	ytcD_1		COG1733	putative HTH-type transcriptional regulator YtcD
GJMMAFOP_02680	CDS	1023	gapB_1	1.2.1.59	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 2
GJMMAFOP_02681	CDS	381	speH_1	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
GJMMAFOP_02682	CDS	459	nrdR_1		COG1327	Transcriptional repressor NrdR
GJMMAFOP_02683	CDS	1419	dnaB_1		COG3611	Replication initiation and membrane attachment protein
GJMMAFOP_02684	CDS	936	dnaI_1		COG1484	Primosomal protein DnaI
GJMMAFOP_02685	CDS	642	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
GJMMAFOP_02686	CDS	846				hypothetical protein
GJMMAFOP_02687	CDS	1932	thrS_1	6.1.1.3	COG0441	Threonine--tRNA ligase 1
GJMMAFOP_02688	CDS	783	ppaX_2	3.6.1.1		Pyrophosphatase PpaX
GJMMAFOP_02689	CDS	1782	ypdA_1	2.7.13.3	COG3275	Sensor histidine kinase YpdA
GJMMAFOP_02690	CDS	726	lytR_1		COG3279	Sensory transduction protein LytR
GJMMAFOP_02691	CDS	441	lrgA_1		COG1380	Antiholin-like protein LrgA
GJMMAFOP_02692	CDS	696	lrgB_1		COG1346	Antiholin-like protein LrgB
GJMMAFOP_02693	CDS	666				hypothetical protein
GJMMAFOP_02694	CDS	504	infC_1			Translation initiation factor IF-3
GJMMAFOP_02695	CDS	201	rpmI_1		COG0291	50S ribosomal protein L35
GJMMAFOP_02696	CDS	360	rplT_1		COG0292	50S ribosomal protein L20
GJMMAFOP_02697	CDS	270				hypothetical protein
GJMMAFOP_02698	CDS	393	ysdB_1			Sigma-w pathway protein YsdB
GJMMAFOP_02699	CDS	1086	ysdC_3	3.4.11.-	COG1363	Putative aminopeptidase YsdC
GJMMAFOP_02700	CDS	972	abnA_1	3.2.1.99	COG3507	Extracellular endo-alpha-(1->5)-L-arabinanase 1
GJMMAFOP_02701	CDS	1491	araA_1	5.3.1.4		L-arabinose isomerase
GJMMAFOP_02702	CDS	1683	araB_1	2.7.1.16	COG1069	Ribulokinase
GJMMAFOP_02703	CDS	690	araD_1	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase
GJMMAFOP_02704	CDS	810	araL	3.1.3.23	COG0647	Sugar-phosphatase AraL
GJMMAFOP_02705	CDS	1185	egsA_1	1.1.1.261	COG0371	Glycerol-1-phosphate dehydrogenase [NAD(P)+]
GJMMAFOP_02706	CDS	1302	araN_1		COG1653	putative arabinose-binding protein
GJMMAFOP_02707	CDS	942	araP_1		COG1175	L-arabinose transport system permease protein AraP
GJMMAFOP_02708	CDS	846	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
GJMMAFOP_02709	CDS	1503	abfA_1	3.2.1.55	COG3534	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase 1
GJMMAFOP_02710	CDS	1797	cstA_1		COG1966	Peptide transporter CstA
GJMMAFOP_02711	CDS	171				hypothetical protein
GJMMAFOP_02712	CDS	243				hypothetical protein
GJMMAFOP_02713	CDS	1335	lutA_2			Lactate utilization protein A
GJMMAFOP_02714	CDS	1413		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
GJMMAFOP_02715	CDS	1107	cdaR_2		COG3835	Carbohydrate diacid regulator
GJMMAFOP_02716	CDS	216	sspI_1			Small, acid-soluble spore protein I
GJMMAFOP_02717	CDS	747	rlmB	2.1.1.185		23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
GJMMAFOP_02718	CDS	1035	pheS_1	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
GJMMAFOP_02719	CDS	2415	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
GJMMAFOP_02720	CDS	942	rnhC_1	3.1.26.4	COG1039	Ribonuclease HIII
GJMMAFOP_02721	CDS	258	zapA_1		COG3027	Cell division protein ZapA
GJMMAFOP_02722	CDS	534				hypothetical protein
GJMMAFOP_02723	CDS	1713	polX_1		COG1387	DNA polymerase/3'-5' exonuclease PolX
GJMMAFOP_02724	CDS	2358	mutS2_1	3.1.-.-		Endonuclease MutS2
GJMMAFOP_02725	CDS	405				hypothetical protein
GJMMAFOP_02726	CDS	1683	fadD_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
GJMMAFOP_02727	CDS	585	fadR_1			Fatty acid metabolism regulator protein
GJMMAFOP_02728	CDS	777	fadB_1	4.2.1.17	COG1024	putative enoyl-CoA hydratase
GJMMAFOP_02729	CDS	774	etfB_1		COG2086	Electron transfer flavoprotein subunit beta
GJMMAFOP_02730	CDS	978	etfA_1		COG2025	Electron transfer flavoprotein subunit alpha
GJMMAFOP_02731	CDS	162				hypothetical protein
GJMMAFOP_02732	CDS	1488	abf2	3.2.1.55	COG3534	Intracellular exo-alpha-L-arabinofuranosidase 2
GJMMAFOP_02733	CDS	315	trxA_1		COG0526	Thioredoxin
GJMMAFOP_02734	CDS	1773	uvrC_2		COG0322	UvrABC system protein C
GJMMAFOP_02735	CDS	1227	lysC_1	2.7.2.4	COG0527	Aspartokinase 2
GJMMAFOP_02736	CDS	447	yslB_1			putative protein YslB
GJMMAFOP_02737	CDS	609	sdhC_1		COG2009	Succinate dehydrogenase cytochrome b558 subunit
GJMMAFOP_02738	CDS	1761	frdA_1	1.3.5.4		Fumarate reductase flavoprotein subunit
GJMMAFOP_02739	CDS	762	frdB_1	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
GJMMAFOP_02740	CDS	444				hypothetical protein
GJMMAFOP_02741	CDS	225	gerE_1		COG2771	Spore germination protein GerE
GJMMAFOP_02742	CDS	441	yusO_3			putative HTH-type transcriptional regulator YusO
GJMMAFOP_02743	CDS	816	racE_1	5.1.1.3	COG0796	Glutamate racemase 1
GJMMAFOP_02744	CDS	1101	gerM_1		COG5401	Spore germination protein GerM
GJMMAFOP_02745	CDS	738	rph_1	2.7.7.56	COG0689	Ribonuclease PH
GJMMAFOP_02746	CDS	588		3.6.1.66		dITP/XTP pyrophosphatase
GJMMAFOP_02747	CDS	510		3.1.4.-		Putative metallophosphoesterase MG207 
GJMMAFOP_02748	tRNA	76				tRNA-Arg(tct)
GJMMAFOP_02749	CDS	822	ysnF			Stress response protein YsnF
GJMMAFOP_02750	CDS	456	ysnE	2.3.1.-		putative N-acetyltransferase YsnE
GJMMAFOP_02751	CDS	336				hypothetical protein
GJMMAFOP_02752	CDS	1725	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase large subunit
GJMMAFOP_02753	CDS	519	ilvH_1	2.2.1.6	COG0440	Acetolactate synthase small subunit
GJMMAFOP_02754	CDS	1029	ilvC_1	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
GJMMAFOP_02755	CDS	1557	leuA_1	2.3.3.13		2-isopropylmalate synthase
GJMMAFOP_02756	CDS	1098	leuB_1	1.1.1.85	COG0473	3-isopropylmalate dehydrogenase
GJMMAFOP_02757	CDS	1419	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
GJMMAFOP_02758	CDS	600	leuD1_1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
GJMMAFOP_02759	CDS	1005				hypothetical protein
GJMMAFOP_02760	CDS	1275	tig_1	5.2.1.8	COG0544	Trigger factor
GJMMAFOP_02761	CDS	1263	clpX_1		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
GJMMAFOP_02762	CDS	1659	lon2_1	3.4.21.53	COG1067	Lon protease 2
GJMMAFOP_02763	CDS	2325	lon1_1	3.4.21.53	COG0466	Lon protease 1
GJMMAFOP_02764	CDS	588	engB_1		COG0218	putative GTP-binding protein EngB
GJMMAFOP_02765	CDS	498				hypothetical protein
GJMMAFOP_02766	CDS	1368	hemA_1	1.2.1.70	COG0373	Glutamyl-tRNA reductase
GJMMAFOP_02767	CDS	831	ccsA_1			Cytochrome c biogenesis protein CcsA
GJMMAFOP_02768	CDS	945	hemC_1	2.5.1.61		Porphobilinogen deaminase
GJMMAFOP_02769	CDS	789				hypothetical protein
GJMMAFOP_02770	CDS	975	hemB_1	4.2.1.24		Delta-aminolevulinic acid dehydratase
GJMMAFOP_02771	CDS	1293	hemL_1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
GJMMAFOP_02772	CDS	1728	spoVID			Stage VI sporulation protein D
GJMMAFOP_02773	CDS	1035				hypothetical protein
GJMMAFOP_02774	CDS	192				hypothetical protein
GJMMAFOP_02775	CDS	2643	valS_1	6.1.1.9	COG0525	Valine--tRNA ligase
GJMMAFOP_02776	CDS	1293	fpgS_1	6.3.2.17		Folylpolyglutamate synthase
GJMMAFOP_02777	CDS	537	comC_1			Type 4 prepilin-like proteins leader peptide-processing enzyme
GJMMAFOP_02778	CDS	999	spoIIB_1			Stage II sporulation protein B
GJMMAFOP_02779	CDS	564	rutB_2	3.5.1.110		Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
GJMMAFOP_02780	CDS	150				hypothetical protein
GJMMAFOP_02781	CDS	1233	pksS_2	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
GJMMAFOP_02782	CDS	276			COG2732	Barstar
GJMMAFOP_02783	CDS	324	czrA_1		COG0640	HTH-type transcriptional repressor CzrA
GJMMAFOP_02784	CDS	678				hypothetical protein
GJMMAFOP_02785	CDS	537				hypothetical protein
GJMMAFOP_02786	CDS	783				hypothetical protein
GJMMAFOP_02787	CDS	498				hypothetical protein
GJMMAFOP_02788	CDS	396				hypothetical protein
GJMMAFOP_02789	CDS	279				hypothetical protein
GJMMAFOP_02790	CDS	405	yopX			SPbeta prophage-derived uncharacterized protein YopX
GJMMAFOP_02791	CDS	336				hypothetical protein
GJMMAFOP_02792	CDS	195				hypothetical protein
GJMMAFOP_02793	CDS	948				hypothetical protein
GJMMAFOP_02794	CDS	1467	guaB_1	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
GJMMAFOP_02795	CDS	1332	dacA_1	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacA
GJMMAFOP_02796	CDS	885	pdxS_1	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
GJMMAFOP_02797	CDS	591	pdxT_1	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
GJMMAFOP_02798	CDS	1278	serS_1	6.1.1.11	COG0172	Serine--tRNA ligase
GJMMAFOP_02799	tRNA	93				tRNA-Ser(tga)
GJMMAFOP_02800	CDS	654	dck_1	2.7.1.74	COG1428	Deoxyadenosine/deoxycytidine kinase
GJMMAFOP_02801	CDS	624	dgk_1	2.7.1.113	COG1428	Deoxyguanosine kinase
GJMMAFOP_02802	CDS	1284	sleL_1	3.2.1.-	COG3858	Cortical fragment-lytic enzyme
GJMMAFOP_02803	CDS	546	vibB	3.3.2.1	COG1535	Vibriobactin-specific isochorismatase
GJMMAFOP_02804	CDS	486	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
GJMMAFOP_02805	CDS	1692				hypothetical protein
GJMMAFOP_02806	CDS	324			COG0718	Nucleoid-associated protein
GJMMAFOP_02807	CDS	597	recR_1		COG0353	Recombination protein RecR
GJMMAFOP_02808	CDS	225				hypothetical protein
GJMMAFOP_02809	CDS	264	bofA			Sigma-K factor-processing regulatory protein BofA
GJMMAFOP_02810	CDS	375				hypothetical protein
GJMMAFOP_02811	CDS	1413	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
GJMMAFOP_02812	CDS	1329	pdhC_1	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
GJMMAFOP_02813	CDS	978	pdhB_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
GJMMAFOP_02814	CDS	1116	pdhA_1	1.2.4.1	COG1071	Pyruvate dehydrogenase E1 component subunit alpha
GJMMAFOP_02815	CDS	672				hypothetical protein
GJMMAFOP_02816	CDS	159				hypothetical protein
GJMMAFOP_02817	CDS	555	defB_1	3.5.1.88	COG0242	Peptide deformylase 2
GJMMAFOP_02818	CDS	822				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
